recording,episode_id,start_frame,end_frame,start_index,end_index,duration_frames,max_sni,mean_sni
22_assy_2_3,0,000033.jpg,000047.jpg,33,47,15,0.6630364280711146,0.6458851993553928
22_assy_2_3,1,000049.jpg,000106.jpg,49,106,58,0.7116827190817354,0.6578740181406034
22_assy_2_3,2,000109.jpg,000121.jpg,109,121,13,0.6639368276781078,0.6471884714063804
22_assy_2_3,3,000152.jpg,000157.jpg,152,157,6,0.6497634624326013,0.6324151505208712
22_assy_2_3,4,000452.jpg,000491.jpg,452,491,40,0.8181294631526518,0.7488200978247488
22_assy_2_3,5,000520.jpg,000524.jpg,520,524,5,0.6345355474944303,0.6322549353136258
22_assy_2_3,6,000529.jpg,000545.jpg,529,545,17,0.6603758145249314,0.642331046751133
22_assy_2_3,7,000697.jpg,000697.jpg,697,697,1,0.6404429345294292,0.6404429345294292
22_assy_2_3,8,000705.jpg,000724.jpg,705,724,20,0.7605111957028365,0.6998987737315383
22_assy_2_3,9,000732.jpg,000804.jpg,732,804,73,0.8002130865342826,0.7351677606049525
22_assy_2_3,10,000999.jpg,001034.jpg,999,1034,36,0.7255223003038846,0.6831365265236644
22_assy_2_3,11,001130.jpg,001138.jpg,1130,1138,9,0.6684150909128624,0.6463002577510146
22_assy_2_3,12,001303.jpg,001317.jpg,1303,1317,15,0.6802853552738207,0.6610303703137654
22_assy_2_3,13,001600.jpg,001666.jpg,1600,1666,67,0.7225745281345548,0.6749515274462624
22_assy_2_3,14,001675.jpg,001675.jpg,1675,1675,1,0.6279100814200204,0.6279100814200204
22_assy_2_3,15,001813.jpg,001818.jpg,1813,1818,6,0.6522433825111689,0.6452816306547665
22_assy_2_3,16,001823.jpg,001839.jpg,1823,1839,17,0.6503595269432971,0.6368086265566836
22_assy_2_3,17,001847.jpg,001854.jpg,1847,1854,8,0.6415157821049843,0.6342425558144216
22_assy_2_3,18,001928.jpg,001929.jpg,1928,1929,2,0.6289734084875348,0.6274566995681266
22_assy_2_3,19,002010.jpg,002032.jpg,2010,2032,23,0.7062259446238914,0.6608192932605319
22_assy_2_3,20,002090.jpg,002109.jpg,2090,2109,20,0.6993171571350676,0.6687026167640713
22_assy_2_3,21,002192.jpg,002255.jpg,2192,2255,64,0.7091809800384206,0.6753458288936693
22_assy_2_3,22,002475.jpg,002484.jpg,2475,2484,10,0.6607058140819022,0.6426030271848727
22_assy_2_3,23,002486.jpg,002487.jpg,2486,2487,2,0.6283644221600755,0.6283644221600755
22_assy_2_3,24,002493.jpg,002500.jpg,2493,2500,8,0.6739106135608371,0.6582751861024378
22_assy_2_3,25,002526.jpg,002532.jpg,2526,2532,7,0.6596598061875141,0.6448518206747922
22_assy_2_3,26,002574.jpg,002583.jpg,2574,2583,10,0.6534217743717902,0.6412368681078642
22_assy_2_3,27,003024.jpg,003030.jpg,3024,3030,7,0.67531200366384,0.6570667690700643
