method,step,f1
A3 sensor smooth,21,0.078902229845626
A3 sensor smooth,24,0.078902229845626
A3 sensor smooth,27,0.2178217821782178
A3 sensor smooth,30,0.0773286467486819
A5 sensor K=15,21,0.0553207837111025
A5 sensor K=15,24,0.0553207837111025
A5 sensor K=15,27,0.0642857142857143
A5 sensor K=15,30,0.920934858279463
B1 DINOv2 MLP raw,21,0.2419354838709677
B1 DINOv2 MLP raw,24,0.2419354838709677
B1 DINOv2 MLP raw,27,0.625
B1 DINOv2 MLP raw,30,0.7938144329896907
B2 DINOv2 smooth,21,0.5660377358490566
B2 DINOv2 smooth,24,0.5660377358490566
B2 DINOv2 smooth,27,0.888888888888889
B2 DINOv2 smooth,30,0.7635327635327636
Candidate K=3,21,0.5263157894736842
Candidate K=3,24,0.5263157894736842
Candidate K=3,27,0.8
Candidate K=3,30,0.9953703703703703
