config,step,precision,recall,f1
A1_perframe,3,0.9217042971595047,0.9988161010260458,0.9587121212121212
A1_perframe,6,0.9217042971595047,0.9988161010260458,0.9587121212121212
A1_perframe,9,0.7646840148698885,0.969368520263902,0.8549459684123026
A1_perframe,15,0.7765744083433614,0.9123468426013195,0.8390032502708559
A1_perframe,18,0.701498127340824,0.966959215281363,0.8131104840460169
A1_perframe,21,0.06654676258992806,0.5138888888888888,0.1178343949044586
A1_perframe,24,0.06654676258992806,0.5138888888888888,0.1178343949044586
A1_perframe,27,0.08539944903581267,0.4305555555555556,0.1425287356321839
A1_perframe,30,0.3918918918918919,0.026728110599078342,0.050043140638481455
A3_smooth,3,0.9285452546720411,1.0,0.962948888466654
A3_smooth,6,0.9285452546720411,1.0,0.962948888466654
A3_smooth,9,0.7670011148272018,0.9726672950047125,0.8576771244546021
A3_smooth,15,0.787556283258289,0.9066918001885014,0.842935377875137
A3_smooth,18,0.7165473049378063,0.9814145585957667,0.828322440087146
A3_smooth,21,0.04500978473581213,0.3194444444444444,0.07890222984562606
A3_smooth,24,0.04500978473581213,0.3194444444444444,0.07890222984562606
A3_smooth,27,0.16923076923076924,0.3055555555555556,0.21782178217821782
A3_smooth,30,0.8301886792452831,0.04055299539170507,0.0773286467486819
A5_sustained,3,0.9333333333333333,1.0,0.9655172413793104
A5_sustained,6,0.9333333333333333,1.0,0.9655172413793104
A5_sustained,9,0.7668955547524394,1.0,0.8680711802004499
A5_sustained,15,0.7801470588235294,1.0,0.8764973151590252
A5_sustained,18,0.7013034033309197,1.0,0.8244307299425411
A5_sustained,21,0.028447254049782694,1.0,0.05532078371110257
A5_sustained,24,0.028447254049782694,1.0,0.05532078371110257
A5_sustained,27,0.033210332103321034,1.0,0.0642857142857143
A5_sustained,30,1.0,0.8534562211981567,0.920934858279463
